,ï»¿term,values
510,and Ritual Slaughter,788
511,and Synagogue Music,
511,and Synagogue Music,62
512,and social virtue,
512,and social virtue,34
513,and the Occult,
513,and the Occult,56
514,"Kaas, Catherine",
514,"Kaas, Catherine",631
515,"Kalir, Eleazar",
515,"Kalir, Eleazar",112
516,"Kalisch, Dr. Isidor",
516,"Kalisch, Dr. Isidor",018
516,"Kalisch, Dr. Isidor",307
517,"Kaufmann, David",
517,"Kaufmann, David",230
517,"Kaufmann, David",233
517,"Kaufmann, David",234
517,"Kaufmann, David",235
517,"Kaufmann, David",652
518,"Kaufmann, Jacob",
518,"Kaufmann, Jacob",308
519,"Kayserling, Dr. M.",
519,"Kayserling, Dr. M.",045
520,"Die j?dischen Frauen in der Geschichte, Literatur und Kunst",
520,"Die j?dischen Frauen in der Geschichte, Literatur und Kunst",657
521,Jewish Women,
521,Jewish Women,604
522,"Keiley, Ambassador",
522,"Keiley, Ambassador",558
523,Kerem Chemed,
523,Kerem Chemed,801
524,"Keys, Abraham Israel",
524,"Keys, Abraham Israel",340
525,"Keyser, Charles S.",
525,"Keyser, Charles S.",166
526,Kiev,
526,Kiev,303
527,"Kimchi, David",
527,"Kimchi, David",523
527,"Kimchi, David",524
528,Kinor Nangim,
528,Kinor Nangim,270
529,Kircheim,
529,Kircheim,204
530,"Kirkovitch, Abraham",
530,"Kirkovitch, Abraham",176
530,"Kirkovitch, Abraham",204
531,"Klein, Moses",
531,"Klein, Moses",805
532,Knownothingism,
532,Knownothingism,7
533,Kochebe Yitzhac,
533,Kochebe Yitzhac,194
534,"Kohler, Kaufmann",
534,"Kohler, Kaufmann",281
534,"Kohler, Kaufmann",282
534,"Kohler, Kaufmann",283
534,"Kohler, Kaufmann",285
534,"Kohler, Kaufmann",352
534,"Kohler, Kaufmann",372
534,"Kohler, Kaufmann",527
534,"Kohler, Kaufmann",528
534,"Kohler, Kaufmann",529
534,"Kohler, Kaufmann",530
534,"Kohler, Kaufmann",531
534,"Kohler, Kaufmann",532
534,"Kohler, Kaufmann",621
534,"Kohler, Kaufmann",761
535,"Kohut, Dr. Alexander",
535,"Kohut, Dr. Alexander",113
535,"Kohut, Dr. Alexander",594
535,"Kohut, Dr. Alexander",601
535,"Kohut, Dr. Alexander",668
535,"Kohut, Dr. Alexander",749
535,"Kohut, Dr. Alexander",779
535,"Kohut, Dr. Alexander",781
535,"Kohut, Dr. Alexander",820
535,"Kohut, Dr. Alexander",827
536,"Kossuth, Louis",
536,"Kossuth, Louis",634
537,Krause,
537,Krause,763
538,"Krochmal, N.",
538,"Krochmal, N.",229
539,"Kuenen, Abraham",
539,"Kuenen, Abraham",313
539,"Kuenen, Abraham",529
539,"Kuenen, Abraham",621
540,"Kutner, Rabbi",
540,"Kutner, Rabbi",217
541,L?Univers Isra?lite,
541,L?Univers Isra?lite,294
541,L?Univers Isra?lite,334
543,Characters and Manners,
543,Characters and Manners,196
544,La Nazione,
544,La Nazione,707
545,"Labour, condition of",
545,"Labour, condition of",007
545,"Labour, condition of",145
546,"Labrat, Dounash ben",
546,"Labrat, Dounash ben",187
546,"Labrat, Dounash ben",188
547,"Lafayette, General de",
547,"Lafayette, General de",057
547,"Lafayette, General de",262
548,"Lambroso, G.",
548,"Lambroso, G.",565
549,"Lampronti, Isaac",
549,"Lampronti, Isaac",127
549,"Lampronti, Isaac",265
549,"Lampronti, Isaac",268
549,"Lampronti, Isaac",347
550,Pachad Yitschak,
550,Pachad Yitschak,348
551,Land Tenure,
551,Land Tenure,608
552,"Landsberg, Dr. Max (of Rochester, N. Y.)",
552,"Landsberg, Dr. Max (of Rochester, N. Y.)",295
552,"Landsberg, Dr. Max (of Rochester, N. Y.)",594
553,"Lapuya, Isaac Lopez",
553,"Lapuya, Isaac Lopez",598
554,"Lara, Countess",
554,"Lara, Countess",606
555,"Lasinio, Fausto",
555,"Lasinio, Fausto",235
556,"Lasker, E.",
556,"Lasker, E.",278
557,"Lasker, Edward",
557,"Lasker, Edward",371
557,"Lasker, Edward",441
558,"Lasker, Rev. (of Boston)",
558,"Lasker, Rev. (of Boston)",594
559,"Lattes, E. Aaron (Chief Rabbi of Venice)",
559,"Lattes, E. Aaron (Chief Rabbi of Venice)",204
560,"Lattes, Joseph Rabbi (of Reggio Emilia)",
560,"Lattes, Joseph Rabbi (of Reggio Emilia)",250
561,"Lattes, Moses",
561,"Lattes, Moses",357
562,"Lavater, Johan Casper",
562,"Lavater, Johan Casper",039
564,"Lazarus, Emma",
564,"Lazarus, Emma",335
564,"Lazarus, Emma",645
564,"Lazarus, Emma",646
564,"Lazarus, Emma",664
565,"Lazarus, Henry",
565,"Lazarus, Henry",249
566,The Jewish Problem,
566,The Jewish Problem,335
567,Le France Juive,
567,Le France Juive,685
568,Lebanon,
568,Lebanon,268
569,"Lebensohn, A. D.",
569,"Lebensohn, A. D.",447
570,"Lebrecht, F.",
570,"Lebrecht, F.",229
571,"Lederer, Ephraim",
571,"Lederer, Ephraim",675
572,"Leeser, Rev I.",
572,"Leeser, Rev I.",017
572,"Leeser, Rev I.",035
572,"Leeser, Rev I.",043
572,"Leeser, Rev I.",077
572,"Leeser, Rev I.",212
572,"Leeser, Rev I.",310
572,"Leeser, Rev I.",340
572,"Leeser, Rev I.",345
572,"Leeser, Rev I.",608
572,"Leeser, Rev I.",700
573,Leghorn,
573,Leghorn,347
573,Leghorn,565
574,"Leghorn, Chief Rabbi of",
574,"Leghorn, Chief Rabbi of",062
574,"Leghorn, Chief Rabbi of",346
575,"Lehmann, L.",
575,"Lehmann, L.",437
576,"Leipziger, Henry M.",
576,"Leipziger, Henry M.",797
577,"Leir, Benedict (Chief Rabbi of Ferrara)",
577,"Leir, Benedict (Chief Rabbi of Ferrara)",268
578,Lemberg,
578,Lemberg,49
579,Leo XIII,
579,Leo XIII,665
580,"Leone, Salomon",
580,"Leone, Salomon",665
581,Leroy-Beaulieu,
581,Leroy-Beaulieu,736
582,Lessing,
582,Lessing,270
582,Lessing,339
583,Nathan the Wise,
583,Nathan the Wise,489
584,"Letteris, Mayer M.",
584,"Letteris, Mayer M.",046
584,"Letteris, Mayer M.",048
584,"Letteris, Mayer M.",447
586,The Chronicles of the Prophet,
586,The Chronicles of the Prophet,359
587,The Mind of Michaelangelo,
587,The Mind of Michaelangelo,359
588,"Leven, N.",
588,"Leven, N.",437
589,"Levi, Benedict (Chief Rabbi of Ferrar)",
589,"Levi, Benedict (Chief Rabbi of Ferrar)",265
589,"Levi, Benedict (Chief Rabbi of Ferrar)",292
589,"Levi, Benedict (Chief Rabbi of Ferrar)",357
590,"Levi, David (of Turin)",
590,"Levi, David (of Turin)",103
590,"Levi, David (of Turin)",706
590,"Levi, David (of Turin)",707
591,"Levi, G. E. (of Corfu)",
591,"Levi, G. E. (of Corfu)",604
592,"Levy, J. Leonard",
592,"Levy, J. Leonard",805
593,"Levy, Nathan",
593,"Levy, Nathan",341
594,"Levy, Rabbi (of Trieste)",
594,"Levy, Rabbi (of Trieste)",196
595,Liberty Bell,
595,Liberty Bell,739
596,"Lilienthal, Dr. M.",
596,"Lilienthal, Dr. M.",217
596,"Lilienthal, Dr. M.",225
596,"Lilienthal, Dr. M.",277
596,"Lilienthal, Dr. M.",413
597,"Lincoln, Abraham",
597,"Lincoln, Abraham",022
597,"Lincoln, Abraham",024
597,"Lincoln, Abraham",029
597,"Lincoln, Abraham",254
597,"Lincoln, Abraham",816
597,"Lincoln, Abraham",830
599,Nizachon,
599,Nizachon,105
600,Lippincott?s Magazine,
600,Lippincott?s Magazine,163
601,Liquor dens,
601,Liquor dens,517
602,Literary associations,
602,Literary associations,1
603,Liturgy,
603,Liturgy,224
605,"Locke, John",
605,"Locke, John",193
606,"Loeb, Isidore M.",
606,"Loeb, Isidore M.",437
606,"Loeb, Isidore M.",597
606,"Loeb, Isidore M.",598
607,"Loeb, Matilde Adler",
607,"Loeb, Matilde Adler",253
608,"Loeb, Moritz",
608,"Loeb, Moritz",730
608,"Loeb, Moritz",773
609,Spain and the Jews,
609,Spain and the Jews,598
610,Loewe,
610,Loewe,257
611,"Loewenberg, Cantor W.",
611,"Loewenberg, Cantor W.",217
612,"Lolli, Ehud",
612,"Lolli, Ehud",191
612,"Lolli, Ehud",196
613,"Lolli, Judah",
613,"Lolli, Judah",200
614,"Lolli, S. V.",
614,"Lolli, S. V.",196
614,"Lolli, S. V.",200
614,"Lolli, S. V.",782
615,London Jewish Press,
615,London Jewish Press,713
616,London Times,
616,London Times,688
617,London?s Jewish Lord Mayor,
617,London?s Jewish Lord Mayor,713
618,"Loria, Amos (of Mantua)",
618,"Loria, Amos (of Mantua)",357
619,Louisa B. Hart Sewing School,
619,Louisa B. Hart Sewing School,433
620,"Lowell, James Russell",
620,"Lowell, James Russell",457
621,"Luzzatti, Luigi",
621,"Luzzatti, Luigi",708
622,Luzzatto family,
622,Luzzatto family,127
622,Luzzatto family,783
623,"Luzzatto, Dr. Isaiah",
623,"Luzzatto, Dr. Isaiah",190
623,"Luzzatto, Dr. Isaiah",191
623,"Luzzatto, Dr. Isaiah",192
623,"Luzzatto, Dr. Isaiah",199
623,"Luzzatto, Dr. Isaiah",200
623,"Luzzatto, Dr. Isaiah",201
623,"Luzzatto, Dr. Isaiah",225
623,"Luzzatto, Dr. Isaiah",233
624,"Luzzatto, Hezekiah",
624,"Luzzatto, Hezekiah",190
625,"Luzzatto, Joseph",
625,"Luzzatto, Joseph",212
626,"Luzzatto, Moses Hayyim",
626,"Luzzatto, Moses Hayyim",346
627,"Luzzatto, Philoxene",
627,"Luzzatto, Philoxene",185
627,"Luzzatto, Philoxene",186
627,"Luzzatto, Philoxene",191
627,"Luzzatto, Philoxene",194
627,"Luzzatto, Philoxene",203
627,"Luzzatto, Philoxene",204
627,"Luzzatto, Philoxene",206
627,"Luzzatto, Philoxene",782
628,"Luzzatto, S.D. Prof.",
628,"Luzzatto, S.D. Prof.",003
628,"Luzzatto, S.D. Prof.",010
628,"Luzzatto, S.D. Prof.",016
628,"Luzzatto, S.D. Prof.",040
628,"Luzzatto, S.D. Prof.",043
628,"Luzzatto, S.D. Prof.",046
628,"Luzzatto, S.D. Prof.",048
628,"Luzzatto, S.D. Prof.",105
628,"Luzzatto, S.D. Prof.",177
628,"Luzzatto, S.D. Prof.",186
628,"Luzzatto, S.D. Prof.",187
628,"Luzzatto, S.D. Prof.",191
628,"Luzzatto, S.D. Prof.",226
628,"Luzzatto, S.D. Prof.",229
628,"Luzzatto, S.D. Prof.",233
628,"Luzzatto, S.D. Prof.",234
628,"Luzzatto, S.D. Prof.",235
628,"Luzzatto, S.D. Prof.",270
628,"Luzzatto, S.D. Prof.",310
628,"Luzzatto, S.D. Prof.",311
628,"Luzzatto, S.D. Prof.",319
628,"Luzzatto, S.D. Prof.",323
628,"Luzzatto, S.D. Prof.",336
628,"Luzzatto, S.D. Prof.",345
628,"Luzzatto, S.D. Prof.",374
628,"Luzzatto, S.D. Prof.",453
628,"Luzzatto, S.D. Prof.",472
628,"Luzzatto, S.D. Prof.",473
628,"Luzzatto, S.D. Prof.",480
628,"Luzzatto, S.D. Prof.",581
628,"Luzzatto, S.D. Prof.",590
628,"Luzzatto, S.D. Prof.",603
628,"Luzzatto, S.D. Prof.",641
628,"Luzzatto, S.D. Prof.",705
629,A Critical and Hermeneutical Introduction to the Pentateuch,
629,A Critical and Hermeneutical Introduction to the Pentateuch,165
629,A Critical and Hermeneutical Introduction to the Pentateuch,167
629,A Critical and Hermeneutical Introduction to the Pentateuch,168
629,A Critical and Hermeneutical Introduction to the Pentateuch,169
629,A Critical and Hermeneutical Introduction to the Pentateuch,170
629,A Critical and Hermeneutical Introduction to the Pentateuch,171
629,A Critical and Hermeneutical Introduction to the Pentateuch,172
629,A Critical and Hermeneutical Introduction to the Pentateuch,173
629,A Critical and Hermeneutical Introduction to the Pentateuch,176
629,A Critical and Hermeneutical Introduction to the Pentateuch,178
629,A Critical and Hermeneutical Introduction to the Pentateuch,179
630,Autobiography,
630,Autobiography,190
630,Autobiography,191
630,Autobiography,192
630,Autobiography,193
630,Autobiography,194
630,Autobiography,196
630,Autobiography,197
630,Autobiography,199
630,Autobiography,200
630,Autobiography,201
630,Autobiography,203
630,Autobiography,204
631,Beth Ha-Ozar,
631,Beth Ha-Ozar,188
632,Index raison?e des livres de correspondance du feu SD Luzzatto,
632,Index raison?e des livres de correspondance du feu SD Luzzatto,225
632,Index raison?e des livres de correspondance du feu SD Luzzatto,226
632,Index raison?e des livres de correspondance du feu SD Luzzatto,229
632,Index raison?e des livres de correspondance du feu SD Luzzatto,234
632,Index raison?e des livres de correspondance du feu SD Luzzatto,453
633,Lessons in Moral Theology,
633,Lessons in Moral Theology,065
633,Lessons in Moral Theology,068
633,Lessons in Moral Theology,070
633,Lessons in Moral Theology,073
633,Lessons in Moral Theology,078
633,Lessons in Moral Theology,083
633,Lessons in Moral Theology,086
633,Lessons in Moral Theology,091
633,Lessons in Moral Theology,095
633,Lessons in Moral Theology,098
633,Lessons in Moral Theology,101
634,Ohev Ger,
634,Ohev Ger,206
634,Ohev Ger,207
634,Ohev Ger,208
634,Ohev Ger,209
634,Ohev Ger,210
634,Ohev Ger,211
634,Ohev Ger,212
634,Ohev Ger,213
634,Ohev Ger,214
636,"Macaulay, Thomas B.",
636,"Macaulay, Thomas B.",175
636,"Macaulay, Thomas B.",309
636,"Macaulay, Thomas B.",330
636,"Macaulay, Thomas B.",746
637,Essay on the Civil Disabilities of the Jews in England,
637,Essay on the Civil Disabilities of the Jews in England,353
638,"Madison, James",
638,"Madison, James",017
638,"Madison, James",746
639,Maimonides College,
639,Maimonides College,040
639,Maimonides College,157
640,"Maimonides, Moses",
640,"Maimonides, Moses",033
640,"Maimonides, Moses",222
640,"Maimonides, Moses",244
640,"Maimonides, Moses",266
640,"Maimonides, Moses",270
640,"Maimonides, Moses",475
641,Discourse on the Resurrection of the Dead,
641,Discourse on the Resurrection of the Dead,011
641,Discourse on the Resurrection of the Dead,012
641,Discourse on the Resurrection of the Dead,013
641,Discourse on the Resurrection of the Dead,014
641,Discourse on the Resurrection of the Dead,015
641,Discourse on the Resurrection of the Dead,241
642,"Inspiring Hope, The",
642,"Inspiring Hope, The",146
642,"Inspiring Hope, The",147
642,"Inspiring Hope, The",149
642,"Inspiring Hope, The",151
642,"Inspiring Hope, The",152
642,"Inspiring Hope, The",153
642,"Inspiring Hope, The",154
642,"Inspiring Hope, The",156
642,"Inspiring Hope, The",158
642,"Inspiring Hope, The",159
642,"Inspiring Hope, The",160
642,"Inspiring Hope, The",161
643,"Mainster, Abram (of Robigo)",
643,"Mainster, Abram (of Robigo)",199
643,"Mainster, Abram (of Robigo)",357
644,"Maisner, Moses",
644,"Maisner, Moses",820
644,"Maisner, Moses",827
645,"Malvano, Alessandro",
645,"Malvano, Alessandro",703
646,"Manin, Daniel",
646,"Manin, Daniel",738
647,"Mapu, Abraham",
647,"Mapu, Abraham",447
648,"Maraches, The",
648,"Maraches, The",340
649,"Marcus, Alfred A.",
649,"Marcus, Alfred A.",630
650,"Marcus, Mrs. Kate",
650,"Marcus, Mrs. Kate",592
650,"Marcus, Mrs. Kate",774
651,"Markses, The",
651,"Markses, The",340
652,Marranos of Hamburg,
652,Marranos of Hamburg,676
653,Maryland,
653,Maryland,28
654,"Massarani, Tullo",
654,"Massarani, Tullo",704
654,"Massarani, Tullo",705
655,"Mastbaum, Levi",
655,"Mastbaum, Levi",829
656,"Maurogonato, Isaac Pesaro",
656,"Maurogonato, Isaac Pesaro",702
656,"Maurogonato, Isaac Pesaro",738
657,May Laws,
657,May Laws,450
658,"Mayer, Lazarus",
658,"Mayer, Lazarus",829
659,"Mayer, Samuel",
659,"Mayer, Samuel",775
660,"Mazzini, Joseph",
660,"Mazzini, Joseph",164
660,"Mazzini, Joseph",166
660,"Mazzini, Joseph",213
660,"Mazzini, Joseph",428
660,"Mazzini, Joseph",634
660,"Mazzini, Joseph",701
660,"Mazzini, Joseph",734
660,"Mazzini, Joseph",747
661,"McMichael, Morton",
661,"McMichael, Morton",412
661,"McMichael, Morton",417
662,"Meade, General",
662,"Meade, General",076
662,"Meade, General",643
663,Meassephim,
663,Meassephim,48
664,"Medigo, Elias Del",
664,"Medigo, Elias Del",122
664,"Medigo, Elias Del",190
665,"Meisels, I. S.",
665,"Meisels, I. S.",657
666,Mekizei Nirdamim,
666,Mekizei Nirdamim,347
667,Meldola,
667,Meldola,599
668,Melikoff,
668,Melikoff,278
669,"Melli, Chief Rabbi",
669,"Melli, Chief Rabbi",265
670,"Mendelssohn, Dorothea",
670,"Mendelssohn, Dorothea",288
671,"Mendelssohn, Henrietta",
671,"Mendelssohn, Henrietta",288
672,"Mendelssohn, Moses",
672,"Mendelssohn, Moses",039
672,"Mendelssohn, Moses",107
672,"Mendelssohn, Moses",177
672,"Mendelssohn, Moses",190
672,"Mendelssohn, Moses",198
672,"Mendelssohn, Moses",271
672,"Mendelssohn, Moses",277
672,"Mendelssohn, Moses",337
672,"Mendelssohn, Moses",339
672,"Mendelssohn, Moses",373
672,"Mendelssohn, Moses",377
672,"Mendelssohn, Moses",520
672,"Mendelssohn, Moses",561
672,"Mendelssohn, Moses",723
672,"Mendelssohn, Moses",767
673,"Mendelssohn, Samuel",
673,"Mendelssohn, Samuel",103
674,"Mendes, A. P.",
674,"Mendes, A. P.",545
675,"Mendes, Dr. F. De Solla",
675,"Mendes, Dr. F. De Solla",177
675,"Mendes, Dr. F. De Solla",820
675,"Mendes, Dr. F. De Solla",827
676,"Mendes, H. Pereira",
676,"Mendes, H. Pereira",621
676,"Mendes, H. Pereira",630
676,"Mendes, H. Pereira",677
676,"Mendes, H. Pereira",731
676,"Mendes, H. Pereira",749
676,"Mendes, H. Pereira",780
676,"Mendes, H. Pereira",820
676,"Mendes, H. Pereira",827
677,Jerusalem,
677,Jerusalem,009
677,Jerusalem,107
677,Jerusalem,381
677,Jerusalem,663
678,Phaedon,
678,Phaedon,626
679,Menorah Monthly,
679,Menorah Monthly,693
679,Menorah Monthly,694
679,Menorah Monthly,695
679,Menorah Monthly,696
679,Menorah Monthly,701
679,Menorah Monthly,702
679,Menorah Monthly,703
679,Menorah Monthly,704
679,Menorah Monthly,705
679,Menorah Monthly,706
679,Menorah Monthly,707
679,Menorah Monthly,708
679,Menorah Monthly,709
679,Menorah Monthly,710
680,Menzini,
680,Menzini,270
681,Messianic faith,
681,Messianic faith,405
682,Metastasio,
682,Metastasio,48
683,"Metternich, Prince C.",
683,"Metternich, Prince C.",701
684,"Meyerbeer, G.",
684,"Meyerbeer, G.",039
685,"Meyerhoff, M. S.",
685,"Meyerhoff, M. S.",455
686,"Michael, H. I.",
686,"Michael, H. I.",023
687,Mikveh Israel,
687,Mikveh Israel,017
687,Mikveh Israel,108
687,Mikveh Israel,305
687,Mikveh Israel,340
687,Mikveh Israel,412
687,Mikveh Israel,436
687,Mikveh Israel,438
687,Mikveh Israel,439
687,Mikveh Israel,440
688,Military draft,
688,Military draft,49
689,"Milligan, Rev. J. C. K.",
689,"Milligan, Rev. J. C. K.",577
690,"Minhag (Rite), Sephardic",
690,"Minhag (Rite), Sephardic",608
693,Minister?s Conference,
693,Minister?s Conference,519
694,"Mitchell, Mrs.",
694,"Mitchell, Mrs.",411
695,"Modena, Leon de",
695,"Modena, Leon de",062
695,"Modena, Leon de",105
696,Modernity,
696,Modernity,87
697,"Modigiliani, Dr. Angelo",
697,"Modigiliani, Dr. Angelo",214
697,"Modigiliani, Dr. Angelo",346
698,"Momigliano (of Piedmont), Rabbi",
698,"Momigliano (of Piedmont), Rabbi",192
700,"Montefiore, Judith",
700,"Montefiore, Judith",143
701,"Montefiore, Moses",
701,"Montefiore, Moses",215
701,"Montefiore, Moses",250
701,"Montefiore, Moses",257
701,"Montefiore, Moses",363
701,"Montefiore, Moses",434
701,"Montefiore, Moses",454
701,"Montefiore, Moses",455
701,"Montefiore, Moses",456
701,"Montefiore, Moses",534
701,"Montefiore, Moses",535
701,"Montefiore, Moses",545
701,"Montefiore, Moses",630
701,"Montefiore, Moses",680
701,"Montefiore, Moses",681
701,"Montefiore, Moses",704
701,"Montefiore, Moses",713
702,The Bible for Home Reading,
702,The Bible for Home Reading,800
703,Morais Library,
703,Morais Library,751
703,Morais Library,806
703,Morais Library,811
703,Morais Library,820
703,Morais Library,827
704,"Morais, Henry S.",
704,"Morais, Henry S.",681
704,"Morais, Henry S.",703
705,"Morais, Nina",
705,"Morais, Nina",081
705,"Morais, Nina",429
707,"Morandes, S. H.",
707,"Morandes, S. H.",432
709,L.L.D. conferred,
709,L.L.D. conferred,608
709,L.L.D. conferred,609
709,L.L.D. conferred,610
709,L.L.D. conferred,611
709,L.L.D. conferred,612
709,L.L.D. conferred,614
709,L.L.D. conferred,615
709,L.L.D. conferred,616
709,L.L.D. conferred,617
709,L.L.D. conferred,618
709,L.L.D. conferred,620
710,Rumoured as Orthodox Chief Rabbi,
710,Rumoured as Orthodox Chief Rabbi,240
710,Rumoured as Orthodox Chief Rabbi,243
711,th Birthday,
711,th Birthday,721
711,th Birthday,726
711,th Birthday,806
711,th Birthday,807
711,th Birthday,808
711,th Birthday,809
711,th Birthday,810
711,th Birthday,811
711,th Birthday,812
711,th Birthday,813
711,th Birthday,814
711,th Birthday,815
711,th Birthday,819
711,th Birthday,820
711,th Birthday,821
711,th Birthday,823
711,th Birthday,825
711,th Birthday,826
711,th Birthday,827
711,th Birthday,829
711,th Birthday,830
712,"Morpurgo, J. L.",
712,"Morpurgo, J. L.",200
712,"Morpurgo, J. L.",200
713,"Morpurgo, Rachel",
713,"Morpurgo, Rachel",193
713,"Morpurgo, Rachel",270
713,"Morpurgo, Rachel",604
713,"Morpurgo, Rachel",783
714,"Morris, Robert",
714,"Morris, Robert",017
715,"Morris, William",
715,"Morris, William",829
716,"Mortara (Chief Rabbi of Mantua), Marco",
716,"Mortara (Chief Rabbi of Mantua), Marco",235
716,"Mortara (Chief Rabbi of Mantua), Marco",290
716,"Mortara (Chief Rabbi of Mantua), Marco",579
716,"Mortara (Chief Rabbi of Mantua), Marco",590
716,"Mortara (Chief Rabbi of Mantua), Marco",641
717,"Mortara, Edgar",
717,"Mortara, Edgar",061
717,"Mortara, Edgar",213
717,"Mortara, Edgar",254
717,"Mortara, Edgar",261
717,"Mortara, Edgar",284
719,"Moss, E. L.",
719,"Moss, E. L.",504
720,"Moss, Joseph L.",
720,"Moss, Joseph L.",507
721,"Moss, Lucien Herbert",
721,"Moss, Lucien Herbert",506
721,"Moss, Lucien Herbert",511
722,"Mott, James and Lucretia",
722,"Mott, James and Lucretia",391
723,"Mott, Lucretia",
723,"Mott, Lucretia",503
724,Mount Sinai,
724,Mount Sinai,72
725,"Muhr, Simon",
725,"Muhr, Simon",315
725,"Muhr, Simon",339
725,"Muhr, Simon",384
725,"Muhr, Simon",790
725,"Muhr, Simon",791
726,"Muller, Max",
726,"Muller, Max",380
726,"Muller, Max",490
727,"Munk, S.",
727,"Munk, S.",043
727,"Munk, S.",186
727,"Munk, S.",257
727,"Munk, S.",270
727,"Munk, S.",520
728,Philosophy and Philosophical Authors of the Jews,
728,Philosophy and Philosophical Authors of the Jews,307
729,"Murrell, Captain Hamilton",
729,"Murrell, Captain Hamilton",689
731,Milchamoth Chobah,
731,Milchamoth Chobah,105
731,Milchamoth Chobah,560
732,"Nardi, Prof.",
732,"Nardi, Prof.",192
733,Nathan the Lexicographer,
733,Nathan the Lexicographer,113
734,"Nathan, Joseph",
734,"Nathan, Joseph",428
735,"Nathan, Sarah Levi",
735,"Nathan, Sarah Levi",428
736,"National Baptist, The",
736,"National Baptist, The",242
738,"Naumburg, Rev. L.",
738,"Naumburg, Rev. L.",467
739,"Netter, Charles",
739,"Netter, Charles",254
740,"Neubauer, A.",
740,"Neubauer, A.",504
741,"Neuhouse, Delia Rowland",
741,"Neuhouse, Delia Rowland",538
742,Neuzeit (of Vienna),
742,Neuzeit (of Vienna),600
743,New Orleans,
743,New Orleans,740
744,New York Herald,
744,New York Herald,243
744,New York Herald,703
745,"Newman, Dr. J. P.",
745,"Newman, Dr. J. P.",309
746,"Newman, Rev. Louis C.",
746,"Newman, Rev. Louis C.",163
747,"Nicholas, Czar",
747,"Nicholas, Czar",446
748,"Nicolai, Dr.",
748,"Nicolai, Dr.",264
749,"Niebhur, Carstens",
749,"Niebhur, Carstens",003
750,"Nieto, David",
750,"Nieto, David",125
750,"Nieto, David",126
750,"Nieto, David",379
750,"Nieto, David",599
751,Ninth of Ab,
751,Ninth of Ab,272
751,Ninth of Ab,294
751,Ninth of Ab,321
751,Ninth of Ab,355
751,Ninth of Ab,452
751,Ninth of Ab,662
752,"Nordell, Philip A.",
752,"Nordell, Philip A.",593
753,North American,
753,North American,418
754,North American Review,
754,North American Review,197
754,North American Review,421
755,"O?Connor, J. F. X.",
755,"O?Connor, J. F. X.",593
756,"O?Reilly, May A.",
756,"O?Reilly, May A.",785
757,"Occident, The",
757,"Occident, The",032
757,"Occident, The",112
757,"Occident, The",345
757,"Occident, The",464
757,"Occident, The",465
757,"Occident, The",466
757,"Occident, The",467
757,"Occident, The",468
757,"Occident, The",469
757,"Occident, The",470
757,"Occident, The",471
757,"Occident, The",472
757,"Occident, The",473
757,"Occident, The",474
757,"Occident, The",475
757,"Occident, The",476
757,"Occident, The",477
757,"Occident, The",478
758,Occult,
758,Occult,56
759,"Odorici, Mr.",
759,"Odorici, Mr.",192
760,"Oort, H.",
760,"Oort, H.",529
761,"Oppenheim, Moritz Daniel",
761,"Oppenheim, Moritz Daniel",442
762,"Oppert, Jules",
762,"Oppert, Jules",322
763,Day of Atonement (painting),
763,Day of Atonement (painting),280
764,Oriental,
764,Oriental,784
765,"Orphan Asylum, Cleveland",
765,"Orphan Asylum, Cleveland",217
766,"Orphan Asylum, New York",
766,"Orphan Asylum, New York",351
767,"Osimo, Leon Rabbi",
767,"Osimo, Leon Rabbi",235
768,"Osimo, Marco",
768,"Osimo, Marco",235
769,"Osorio, Isidore",
769,"Osorio, Isidore",630
770,"Ottolenghi, Moses",
770,"Ottolenghi, Moses",655
770,"Ottolenghi, Moses",756
770,"Ottolenghi, Moses",766
771,Padua rabbinical college,
771,Padua rabbinical college,268
771,Padua rabbinical college,311
771,Padua rabbinical college,357
771,Padua rabbinical college,590
772,Palestine,
772,Palestine,029
772,Palestine,175
773,"Palmer, Captain H. S.",
773,"Palmer, Captain H. S.",072
774,Pan-Judaic Congress,
774,Pan-Judaic Congress,219
775,"Pape, Rev. G.",
775,"Pape, Rev. G.",017
778,Paris,
778,Paris,57
779,Parker,
779,Parker,380
780,"Parkhurst, Dr.",
780,"Parkhurst, Dr.",732
781,Passover,
781,Passover,232
781,Passover,316
781,Passover,397
781,Passover,443
781,Passover,576
781,Passover,628
781,Passover,629
782,Pauperism,
782,Pauperism,8
783,"Peabody, George",
783,"Peabody, George",035
783,"Peabody, George",051
783,"Peabody, George",142
783,"Peabody, George",249
784,"Peace Convention, The",
784,"Peace Convention, The",148
785,"Peirce, Judge William S.",
785,"Peirce, Judge William S.",591
786,"Peixotto, B. F.",
786,"Peixotto, B. F.",182
786,"Peixotto, B. F.",659
787,"Peixotto, Rev. Moses Levy Maduro",
787,"Peixotto, Rev. Moses Levy Maduro",340
788,"Pellico, Silvio",
788,"Pellico, Silvio",061
789,Penal Reform,
789,Penal Reform,640
790,"Penn, William",
790,"Penn, William",309
790,"Penn, William",330
790,"Penn, William",420
792,"Pennsylvania, Governor of",
792,"Pennsylvania, Governor of",007
792,"Pennsylvania, Governor of",042
792,"Pennsylvania, Governor of",044
792,"Pennsylvania, Governor of",299
792,"Pennsylvania, Governor of",420
793,As advance troops of Universal Emancipation,
793,As advance troops of Universal Emancipation,31
